task_id,created_at,completed_at,task_type,priority,assigned_staff_id,status
t_0_0,2025-11-06 14:08:00,2025-11-06 14:15:58.577698,Medication,3,s_11,completed
t_0_1,2025-11-06 12:29:00,2025-11-06 12:50:39.179812,Procedure,3,s_24,completed
t_0_2,2025-11-06 11:25:00,2025-11-06 11:56:48.370377,Medication,2,s_19,completed
t_0_3,2025-11-06 02:24:00,2025-11-06 02:41:41.328739,Procedure,3,s_20,completed
t_0_4,2025-11-06 09:56:00,2025-11-06 10:08:01.111933,Vitals,3,s_36,completed
t_0_5,2025-11-06 04:47:00,2025-11-06 05:07:17.913792,Checkup,3,s_39,completed
t_0_6,2025-11-06 09:38:00,2025-11-06 10:02:32.288538,Transport,3,s_29,completed
t_0_7,2025-11-06 07:51:00,2025-11-06 08:13:36.841933,Procedure,2,s_18,completed
t_0_8,2025-11-06 23:44:00,2025-11-06 23:57:47.119988,Transport,3,s_2,completed
t_0_9,2025-11-06 07:56:00,2025-11-06 08:09:58.934762,Checkup,3,s_10,completed
t_0_10,2025-11-06 13:35:00,2025-11-06 13:54:20.928627,Vitals,2,s_7,completed
t_0_11,2025-11-06 12:31:00,2025-11-06 12:52:38.263264,Transport,1,s_3,completed
t_0_12,2025-11-06 06:58:00,2025-11-06 07:15:02.729808,Transport,2,s_36,completed
t_0_13,2025-11-06 17:18:00,2025-11-06 17:38:15.329971,Checkup,2,s_35,completed
t_0_14,2025-11-06 15:26:00,2025-11-06 15:41:07.799114,Procedure,2,s_12,completed
t_0_15,2025-11-06 13:10:00,2025-11-06 13:46:18.431078,Vitals,1,s_20,completed
t_0_16,2025-11-06 10:40:00,2025-11-06 11:07:54.134461,Medication,1,s_35,completed
t_0_17,2025-11-06 18:59:00,2025-11-06 19:29:14.885711,Transport,3,s_26,completed
t_0_18,2025-11-06 12:07:00,2025-11-06 12:22:48.151202,Vitals,2,s_11,completed
t_0_19,2025-11-06 21:08:00,2025-11-06 21:30:53.020260,Medication,1,s_37,completed
t_0_20,2025-11-06 17:06:00,2025-11-06 17:32:15.512545,Transport,3,s_16,completed
t_0_21,2025-11-06 22:44:00,2025-11-06 23:04:51.102843,Transport,3,s_17,completed
t_0_22,2025-11-06 14:47:00,2025-11-06 15:09:04.204763,Medication,3,s_16,completed
t_0_23,2025-11-06 23:27:00,2025-11-06 23:46:59.713808,Medication,3,s_13,completed
t_0_24,2025-11-06 21:42:00,2025-11-06 21:53:50.563571,Checkup,3,s_26,completed
t_0_25,2025-11-06 17:11:00,2025-11-06 17:20:25.410353,Checkup,1,s_4,completed
t_0_26,2025-11-06 17:19:00,2025-11-06 17:41:20.245094,Medication,1,s_24,completed
t_0_27,2025-11-06 11:19:00,2025-11-06 11:30:33.589019,Medication,2,s_26,completed
t_0_28,2025-11-06 18:03:00,2025-11-06 18:25:37.265314,Medication,3,s_25,completed
t_0_29,2025-11-06 05:28:00,2025-11-06 05:54:18.506848,Checkup,2,s_27,completed
t_0_30,2025-11-06 16:55:00,2025-11-06 17:33:18.215553,Vitals,1,s_26,completed
t_0_31,2025-11-06 02:43:00,2025-11-06 03:05:48.965519,Checkup,2,s_20,completed
t_0_32,2025-11-06 04:39:00,2025-11-06 04:59:18.506278,Vitals,2,s_31,completed
t_0_33,2025-11-06 14:45:00,2025-11-06 14:52:08.977122,Procedure,3,s_39,completed
t_0_34,2025-11-06 20:42:00,2025-11-06 21:21:55.031995,Medication,2,s_26,completed
t_0_35,2025-11-06 21:01:00,2025-11-06 21:18:50.094493,Procedure,3,s_26,completed
t_0_36,2025-11-06 23:40:00,2025-11-07 00:05:34.936431,Procedure,3,s_7,completed
t_0_37,2025-11-06 19:30:00,2025-11-06 20:00:28.368874,Transport,2,s_6,completed
t_0_38,2025-11-06 01:41:00,2025-11-06 02:12:28.080775,Checkup,3,s_21,completed
t_0_39,2025-11-06 06:52:00,2025-11-06 07:16:10.679589,Medication,2,s_3,completed
t_0_40,2025-11-06 11:43:00,2025-11-06 12:06:35.726714,Checkup,3,s_9,completed
t_0_41,2025-11-06 00:18:00,2025-11-06 00:25:38.028538,Checkup,1,s_35,completed
t_0_42,2025-11-06 04:46:00,2025-11-06 04:57:23.926993,Checkup,1,s_6,completed
t_0_43,2025-11-06 11:13:00,2025-11-06 11:33:12.661487,Transport,1,s_2,completed
